vraag,antwoord
Wie won de Nobelprijs voor Literatuur in 1901?,Sully Prudhomme
Wie won de Nobelprijs voor Literatuur in 1902?,Theodor Mommsen
Wie won de Nobelprijs voor Literatuur in 1903?,Bjørnstjerne Bjørnson
Wie won de Nobelprijs voor Literatuur in 1904?,Frédéric Mistral & José Echegaray
Wie won de Nobelprijs voor Literatuur in 1905?,Henryk Sienkiewicz
Wie won de Nobelprijs voor Literatuur in 1906?,Giosuè Carducci
Wie won de Nobelprijs voor Literatuur in 1907?,Rudyard Kipling
Wie won de Nobelprijs voor Literatuur in 1908?,Rudolf Christoph Eucken
Wie won de Nobelprijs voor Literatuur in 1909?,Selma Lagerlöf
Wie won de Nobelprijs voor Literatuur in 1910?,Paul von Heyse
Wie won de Nobelprijs voor Literatuur in 1911?,Maurice Maeterlinck
Wie won de Nobelprijs voor Literatuur in 1912?,Gerhart Hauptmann
Wie won de Nobelprijs voor Literatuur in 1913?,Rabindranath Tagore
Wie won de Nobelprijs voor Literatuur in 1914?,(niet uitgereikt)
Wie won de Nobelprijs voor Literatuur in 1915?,Romain Rolland
Wie won de Nobelprijs voor Literatuur in 1916?,Verner von Heidenstam
Wie won de Nobelprijs voor Literatuur in 1917?,Karl Adolph Gjellerup & Henrik Pontoppidan
Wie won de Nobelprijs voor Literatuur in 1918?,(niet uitgereikt)
Wie won de Nobelprijs voor Literatuur in 1919?,Carl Spitteler
Wie won de Nobelprijs voor Literatuur in 1920?,Knut Hamsun
Wie won de Nobelprijs voor Literatuur in 1921?,Anatole France
Wie won de Nobelprijs voor Literatuur in 1922?,Jacinto Benavente
Wie won de Nobelprijs voor Literatuur in 1923?,William Butler Yeats
Wie won de Nobelprijs voor Literatuur in 1924?,Władysław Reymont
Wie won de Nobelprijs voor Literatuur in 1925?,George Bernard Shaw
Wie won de Nobelprijs voor Literatuur in 1926?,Grazia Deledda
Wie won de Nobelprijs voor Literatuur in 1927?,Henri Bergson
Wie won de Nobelprijs voor Literatuur in 1928?,Sigrid Undset
Wie won de Nobelprijs voor Literatuur in 1929?,Thomas Mann
Wie won de Nobelprijs voor Literatuur in 1930?,Sinclair Lewis
Wie won de Nobelprijs voor Literatuur in 1931?,Erik Axel Karlfeldt
Wie won de Nobelprijs voor Literatuur in 1932?,John Galsworthy
Wie won de Nobelprijs voor Literatuur in 1933?,Ivan Bunin
Wie won de Nobelprijs voor Literatuur in 1934?,Luigi Pirandello
Wie won de Nobelprijs voor Literatuur in 1935?,(niet uitgereikt)
Wie won de Nobelprijs voor Literatuur in 1936?,Eugene O'Neill
Wie won de Nobelprijs voor Literatuur in 1937?,Roger Martin du Gard
Wie won de Nobelprijs voor Literatuur in 1938?,Pearl S. Buck
Wie won de Nobelprijs voor Literatuur in 1939?,Frans Eemil Sillanpää
Wie won de Nobelprijs voor Literatuur in 1940?,(niet uitgereikt)
Wie won de Nobelprijs voor Literatuur in 1941?,(niet uitgereikt)
Wie won de Nobelprijs voor Literatuur in 1942?,(niet uitgereikt)
Wie won de Nobelprijs voor Literatuur in 1943?,(niet uitgereikt)
Wie won de Nobelprijs voor Literatuur in 1944?,Johannes Vilhelm Jensen
Wie won de Nobelprijs voor Literatuur in 1945?,Gabriela Mistral
Wie won de Nobelprijs voor Literatuur in 1946?,Hermann Hesse
Wie won de Nobelprijs voor Literatuur in 1947?,André Gide
Wie won de Nobelprijs voor Literatuur in 1948?,T. S. Eliot
Wie won de Nobelprijs voor Literatuur in 1949?,William Faulkner
Wie won de Nobelprijs voor Literatuur in 1950?,Bertrand Russell
Wie won de Nobelprijs voor Literatuur in 1951?,Pär Lagerkvist
Wie won de Nobelprijs voor Literatuur in 1952?,François Mauriac
Wie won de Nobelprijs voor Literatuur in 1953?,Winston Churchill
Wie won de Nobelprijs voor Literatuur in 1954?,Ernest Hemingway
Wie won de Nobelprijs voor Literatuur in 1955?,Halldór Laxness
Wie won de Nobelprijs voor Literatuur in 1956?,Juan Ramón Jiménez
