vraag,antwoord
Wat is de hoofdstad van Afghanistan,Kabul
Wat is de hoofdstad van Albanië,Tirana
Wat is de hoofdstad van Algerije,Algiers
Wat is de hoofdstad van Andorra,Andorra la Vella
Wat is de hoofdstad van Angola,Luanda
Wat is de hoofdstad van Antigua en Barbuda,Saint John's
Wat is de hoofdstad van Argentinië,Buenos Aires
Wat is de hoofdstad van Armenië,Yerevan
Wat is de hoofdstad van Australië,Canberra
Wat is de hoofdstad van Oostenrijk,Wenen
Wat is de hoofdstad van Azerbeidzjan,Bakoe
Wat is de hoofdstad van de Bahamas,Nassau
Wat is de hoofdstad van Bahrein,Manama
Wat is de hoofdstad van Bangladesh,Dhaka
Wat is de hoofdstad van Barbados,Bridgetown
Wat is de hoofdstad van Wit-Rusland,Minsk
Wat is de hoofdstad van België,Brussel
Wat is de hoofdstad van Belize,Belmopan
Wat is de hoofdstad van Benin,Porto-Novo
Wat is de hoofdstad van Bhutan,Thimphu
Wat is de hoofdstad van Bolivië,Sucre
Wat is de hoofdstad van Bosnië en Herzegovina,Sarajevo
Wat is de hoofdstad van Botswana,Gaborone
Wat is de hoofdstad van Brazilië,Brasilia
Wat is de hoofdstad van Brunei,Bandar Seri Begawan
Wat is de hoofdstad van Bulgarije,Sofia
Wat is de hoofdstad van Burkina Faso,Ouagadougou
Wat is de hoofdstad van Burundi,Gitega
Wat is de hoofdstad van Kaapverdië,Praia
Wat is de hoofdstad van Cambodia,Phnom Penh
Wat is de hoofdstad van Kameroen,Yaounde
Wat is de hoofdstad van Canada,Ottawa
Wat is de hoofdstad van de Centraal Afrikaanse Republiek,Bangui
Wat is de hoofdstad van Tsjaad,N'Djamena
Wat is de hoofdstad van Chili,Santiago
Wat is de hoofdstad van China,Beijing
Wat is de hoofdstad van Colombia,Bogotá
Wat is de hoofdstad van de Komoren,Moroni
Wat is de hoofdstad van de democratische republiek Congo, Kinshasa
Wat is de hoofdstad van republiek Congo, Brazzaville
Wat is de hoofdstad van Costa Rica,San Jose
Wat is de hoofdstad van de Ivoorkust,Yamoussoukro
Wat is de hoofdstad van Kroatië,Zagreb
Wat is de hoofdstad van Cuba,Havana
Wat is de hoofdstad van Cyprus,Nicosia
Wat is de hoofdstad van Tsjechië,Praag
Wat is de hoofdstad van Denemarken,Kopenhagen
Wat is de hoofdstad van Djibouti,Djibouti city
Wat is de hoofdstad van Dominica,Roseau
Wat is de hoofdstad van de Dominicaanse Republiek,Santo Domingo
Wat is de hoofdstad van Ecuador,Quito
Wat is de hoofdstad van Egypte,Cairo
Wat is de hoofdstad van El Salvador,San Salvador
Wat is de hoofdstad van Equatoriaal Guinea,Malabo
Wat is de hoofdstad van Eritrea,Asmara
Wat is de hoofdstad van Estland,Tallinn
Wat is de hoofdstad van Eswatini,Mbabane
Wat is de hoofdstad van Ethiopië,Addis Abeba
Wat is de hoofdstad van Fiji,Suva
Wat is de hoofdstad van Finland,Helsinki
Wat is de hoofdstad van Frankrijk,Parijs
Wat is de hoofdstad van Gabon,Libreville
Wat is de hoofdstad van Gambia,Banjul
Wat is de hoofdstad van Georgië,Tbilisi
Wat is de hoofdstad van Duitsland,Berlijn
Wat is de hoofdstad van Ghana,Accra
Wat is de hoofdstad van Griekenland,Athene
Wat is de hoofdstad van Grenada,Saint George's
Wat is de hoofdstad van Guatemala,Guatemala City
Wat is de hoofdstad van Guinea,Conakry
Wat is de hoofdstad van Guinee-Bissau,Bissau
Wat is de hoofdstad van Guyana,Georgetown
Wat is de hoofdstad van Haïti,Port-au-Prince
Wat is de hoofdstad van Honduras,Tegucigalpa
Wat is de hoofdstad van Hongarije,Boedapest
Wat is de hoofdstad van IJsland,Reykjavik
Wat is de hoofdstad van India,New Delhi
Wat is de hoofdstad van Indonesië,Djakarta
Wat is de hoofdstad van Iran,Teheran
Wat is de hoofdstad van Irak,Baghdad
Wat is de hoofdstad van Ierland,Dublin
Wat is de hoofdstad van Israel,Jeruszlem
Wat is de hoofdstad van Italië,Rome
Wat is de hoofdstad van Jamaica,Kingston
Wat is de hoofdstad van Japan,Tokyo
Wat is de hoofdstad van Jordanië,Amman
Wat is de hoofdstad van Kazakhstan,Astana
Wat is de hoofdstad van Kenya,Nairobi
Wat is de hoofdstad van Kiribati,Tarawa
Wat is de hoofdstad van Kosovo,Pristina
Wat is de hoofdstad van Koeweit,Koeweit City
Wat is de hoofdstad van Kyrgyzstan,Bishkek
Wat is de hoofdstad van Laos,Vientiane
Wat is de hoofdstad van Letland,Riga
Wat is de hoofdstad van Libanon,Beirut
Wat is de hoofdstad van Lesotho,Maseru
Wat is de hoofdstad van Liberia,Monrovia
Wat is de hoofdstad van Libië,Tripoli
Wat is de hoofdstad van Liechtenstein,Vaduz
Wat is de hoofdstad van Litouwen,Vilnius
Wat is de hoofdstad van Luxemburg,Luxemburg
Wat is de hoofdstad van Madagascar,Antananarivo
Wat is de hoofdstad van Malawi,Lilongwe
Wat is de hoofdstad van Maleisië,Kuala Lumpur
Wat is de hoofdstad van de Maldiven,Male
Wat is de hoofdstad van Mali,Bamako
Wat is de hoofdstad van Malta,Valletta
Wat is de hoofdstad van de Marshall Islands,Majuro
Wat is de hoofdstad van Mauretanië,Nouakchott
Wat is de hoofdstad van Mauritius,Port Louis
Wat is de hoofdstad van Mexico,Mexico City
Wat is de hoofdstad van Micronesië,Palikir
Wat is de hoofdstad van Moldavië,Chisinau
Wat is de hoofdstad van Monaco,Monaco of Monte Carlo
Wat is de hoofdstad van Mongolië,Ulaanbaatar
Wat is de hoofdstad van Montenegro,Podgorica
Wat is de hoofdstad van Marokko,Rabat
Wat is de hoofdstad van Mozambique,Maputo
Wat is de hoofdstad van Myanmar,Naypyidaw
Wat is de hoofdstad van Namibië,Windhoek
Wat is de hoofdstad van Nauru,Yaren
Wat is de hoofdstad van Nepal,Kathmandu
Wat is de hoofdstad van Nederland,Amsterdam
Wat is de hoofdstad van Nieuw Zeeland,Wellington
Wat is de hoofdstad van Nicaragua,Managua
Wat is de hoofdstad van Niger,Niamey
Wat is de hoofdstad van Nigeria,Abuja
Wat is de hoofdstad van Noord Korea,Pyongyang
Wat is de hoofdstad van Noord Macedonië,Skopje
Wat is de hoofdstad van Noorwegen,Oslo
Wat is de hoofdstad van Oman,Muscat
Wat is de hoofdstad van Pakistan,Islamabad
Wat is de hoofdstad van Palau,Ngerulmud
Wat is de hoofdstad van Palestina,Oost-Jeruzalem
Wat is de hoofdstad van Panama,Panama City
Wat is de hoofdstad van Papoea New Guinea,Port Moresby
Wat is de hoofdstad van Paraguay,Asunción
Wat is de hoofdstad van Peru,Lima
Wat is de hoofdstad van de Filippijnen,Manila
Wat is de hoofdstad van Polen,Warsaw
Wat is de hoofdstad van Portugal,Lisbon
Wat is de hoofdstad van Qatar,Doha
Wat is de hoofdstad van Roemenië,Boekarest
Wat is de hoofdstad van Rusland,Moskou
Wat is de hoofdstad van Rwanda,Kigali
Wat is de hoofdstad van Saint Kitts and Nevis,Basseterre
