vraag,antwoord
Welk gebergte in Afrika is het hoogste niet-vulkanische en niet-orogenische gebergte? Het ligt op de grens van Oeganda en Kongo. De reuzenlobelia groeit op de hoogste flanken. Het is een geopperde locatie voor wat Ptolemaeus de Maanbergen noemde,Rwenzori
Bergmassief op de grens van Slovenië en Italië. De hoogste top is Triglav. Markeert de regio Friuli,julische alpen
Hoogste bergmassief en piek zwitserland,Monte Rosa en Dufourspitze
hoogste tafelberg ter wereld in het hoogland van Guyana,Roraima
belangrijkste pas die Pakistan met Afghanistan verbindt,Khyberpas 
op welk russisch japans eiland wonen de ainu,sachalin
welk kasteel diende als filmset voor harry potter,alnwick
welk kasteel diende als filmset voor downtown abbey,highclere
welk schiereiland diende als filmset voor jaws,Martha's Vineyard
welk kasteel in Canada diende als filmset voor hitchock,Frontenac
welk Luiks fort ken je naast Eben-Emael en Aubin-Neufchateau,Battice
hoe heet de Belgische Vauban,Brialmont
waar woont Elon Musk,Boca Chica
Waar woont Biden,Greenville in Delaware
Hoe heet de woning van George Washington,Mount Vernon
Privé-woning van president Donald Trump in Palm Beach,Mar-a-Lago
woning van Thomas Jefferson in Virginia,Monticello.
woning van Theodore Roosevelt in Oyster Bay,Sagamore Hill
woning van John F. Kennedy in de buurt van Washington D.C.,La Querida
Tussen de kleine en de grote Kaukasus liggen twee riviervalleien, de Rioni en de Koera
welke rivier vormt de grens Bosnië en Servië,drina 
welke rivier vormt de grens tussen Hongarije en Kroatië,drava
welke rivier loopt door Kaunas en mondt daar uit in de Memel, de Neris
wat is de langste bijrivier in derde en vierde rang namelijk van de Kama en de Wolga,belaya en ufa
wat is de langste bijrivier in tweede en derde rang van de Donau,Tisza en Mures
welke rivieren zijn de twee grootste rivieren die volledig in Portugal liggen, zezere en mondego
wat is de grootste rivier in Colombië,Rio Magdalena
wat is de hoogste top van Antwerpen behalve de hoge maai,beerzelberg
welk Limburgs natuurgebied is ontstaan door zinkwinning en is een populair decor voor films en series,Lommelse Sahara
hoe heet de piratenvlag,Jolly Roger
hoe heet de leuze van de Arabieren die we terugvinden op diverse vlaggen,sjahada
welke stad in de Witte Zee is verboden via een gelijknamig kanaal met Sint-Petersburg,Belomorsk
hoe heet de zeestraat aan het eind van de rode zee,bab el mandeb
hoe heet de zeestraat aan het eind van de perzische golf,hormuz
hoe heet de zeestraat tussen australië en Tasmanië,bass
hoe heet de zeestraat tussen australië en nieuw-guinea,torres
hoe noemen we een meer dat niet afwatert,endoreïsch
hoe heet het grootste meer van tunesië,sjott el djerid
welk meer wordt gevoed door de rivier drin en bevat het eiland Golem Grad? Het ligt op de grens van Albanië Griekenland en Macedonië,Ohrid
hoe heet de filmische baai in Vietnam,ha long bay
waar liggen de Beekse bergen,in Hilvarenbeek
hoe heet ‘s werelds grootste boeddhistische tempel in Indonesië,Borobudur 
tot welke taalgroep behoort Georgisch,Kartvelische talen
hoe heet het belangrijkste gebouw in Chichen Itza,Kukulcan 
hoe heet de landengte die de Krim verbindt met de rest van Rusland,perekop
wat is het huisnummer van Sherlock Holmes,221b
Welke Braziliaanse stad is de toegangspoort tot het Amazonewoud,Manaus
Hoe heet het bekende gevangeniseiland bij New York,Rikers Island
hoe heet het kloppende hart van Athene,Syntagma plein
hoe heet het Museum voor Wetenschappen in Amsterdam,NEMO
welk stuk land willen Egypte en Soedan allbei niet hebben,Driehoek van Bir Tawil
Hoe heet het mangrovebos in de Gangesdelta, Sundarbans
Welk Deens museum voor moderne kunst ligt aan de Sont ten noorden van Kopenhagen?, Louisiana Museum
Hoe heet het Nationaal park met witte kalksteenkliffen nabij Marseille, Parc National des Calanques
Welke kaap vormt het zuidelijkste punt van Groenland, Kaap Vaarwel
In welk Beiers dorp wordt om de tien jaar het beroemde Passiespel opgevoerd, Oberammergau
Welke Italiaanse stad huisvest de beroemde universiteit waar Galileo doceerde?,Padua
Welke Iraanse stad ooit beroemd om zijn tapijten en architectuur wordt vaak lyrisch bezongen in reisverhalen?,Ispahaan
Hoe heet de grootste hangbrug ter wereld,Huajiang
Hoe noemen we de methaanbrand nog behalve de poorten van de hel, krater van Derweze
