vraag,antwoord
Wie was de wereldkampioen Formule 1 in 1950?,Giuseppe Farina
Wie was de wereldkampioen Formule 1 in 1951?,Juan Manuel Fangio
Wie was de wereldkampioen Formule 1 in 1952?,Alberto Ascari
Wie was de wereldkampioen Formule 1 in 1953?,Alberto Ascari
Wie was de wereldkampioen Formule 1 in 1954?,Juan Manuel Fangio
Wie was de wereldkampioen Formule 1 in 1955?,Juan Manuel Fangio
Wie was de wereldkampioen Formule 1 in 1956?,Juan Manuel Fangio
Wie was de wereldkampioen Formule 1 in 1957?,Juan Manuel Fangio
Wie was de wereldkampioen Formule 1 in 1958?,Mike Hawthorn
Wie was de wereldkampioen Formule 1 in 1959?,Jack Brabham
Wie was de wereldkampioen Formule 1 in 1960?,Jack Brabham
Wie was de wereldkampioen Formule 1 in 1961?,Phil Hill
Wie was de wereldkampioen Formule 1 in 1962?,Graham Hill
Wie was de wereldkampioen Formule 1 in 1963?,Jim Clark
Wie was de wereldkampioen Formule 1 in 1964?,John Surtees
Wie was de wereldkampioen Formule 1 in 1965?,Jim Clark
Wie was de wereldkampioen Formule 1 in 1966?,Jack Brabham
Wie was de wereldkampioen Formule 1 in 1967?,Denny Hulme
Wie was de wereldkampioen Formule 1 in 1968?,Graham Hill
Wie was de wereldkampioen Formule 1 in 1969?,Jackie Stewart
Wie was de wereldkampioen Formule 1 in 1970?,Jochen Rindt
Wie was de wereldkampioen Formule 1 in 1971?,Jackie Stewart
Wie was de wereldkampioen Formule 1 in 1972?,Emerson Fittipaldi
Wie was de wereldkampioen Formule 1 in 1973?,Jackie Stewart
Wie was de wereldkampioen Formule 1 in 1974?,Emerson Fittipaldi
Wie was de wereldkampioen Formule 1 in 1975?,Niki Lauda
Wie was de wereldkampioen Formule 1 in 1976?,James Hunt
Wie was de wereldkampioen Formule 1 in 1977?,Niki Lauda
Wie was de wereldkampioen Formule 1 in 1978?,Mario Andretti
Wie was de wereldkampioen Formule 1 in 1979?,Jody Scheckter
Wie was de wereldkampioen Formule 1 in 1980?,Alan Jones
Wie was de wereldkampioen Formule 1 in 1981?,Nelson Piquet
Wie was de wereldkampioen Formule 1 in 1982?,Keke Rosberg
Wie was de wereldkampioen Formule 1 in 1983?,Nelson Piquet
Wie was de wereldkampioen Formule 1 in 1984?,Niki Lauda
Wie was de wereldkampioen Formule 1 in 1985?,Alain Prost
Wie was de wereldkampioen Formule 1 in 1986?,Alain Prost
Wie was de wereldkampioen Formule 1 in 1987?,Nelson Piquet
Wie was de wereldkampioen Formule 1 in 1988?,Ayrton Senna
Wie was de wereldkampioen Formule 1 in 1989?,Alain Prost
Wie was de wereldkampioen Formule 1 in 1990?,Ayrton Senna
Wie was de wereldkampioen Formule 1 in 1991?,Ayrton Senna
Wie was de wereldkampioen Formule 1 in 1992?,Nigel Mansell
Wie was de wereldkampioen Formule 1 in 1993?,Alain Prost
Wie was de wereldkampioen Formule 1 in 1994?,Michael Schumacher
Wie was de wereldkampioen Formule 1 in 1995?,Michael Schumacher
Wie was de wereldkampioen Formule 1 in 1996?,Damon Hill
Wie was de wereldkampioen Formule 1 in 1997?,Jacques Villeneuve
Wie was de wereldkampioen Formule 1 in 1998?,Mika Häkkinen
Wie was de wereldkampioen Formule 1 in 1999?,Mika Häkkinen
Wie was de wereldkampioen Formule 1 in 2000?,Michael Schumacher
Wie was de wereldkampioen Formule 1 in 2001?,Michael Schumacher
Wie was de wereldkampioen Formule 1 in 2002?,Michael Schumacher
Wie was de wereldkampioen Formule 1 in 2003?,Michael Schumacher
Wie was de wereldkampioen Formule 1 in 2004?,Michael Schumacher
Wie was de wereldkampioen Formule 1 in 2005?,Fernando Alonso
Wie was de wereldkampioen Formule 1 in 2006?,Fernando Alonso
Wie was de wereldkampioen Formule 1 in 2007?,Kimi Räikkönen
Wie was de wereldkampioen Formule 1 in 2008?,Lewis Hamilton
Wie was de wereldkampioen Formule 1 in 2009?,Jenson Button
Wie was de wereldkampioen Formule 1 in 2010?,Sebastian Vettel
Wie was de wereldkampioen Formule 1 in 2011?,Sebastian Vettel
Wie was de wereldkampioen Formule 1 in 2012?,Sebastian Vettel
Wie was de wereldkampioen Formule 1 in 2013?,Sebastian Vettel
Wie was de wereldkampioen Formule 1 in 2014?,Lewis Hamilton
Wie was de wereldkampioen Formule 1 in 2015?,Lewis Hamilton
Wie was de wereldkampioen Formule 1 in 2016?,Nico Rosberg
Wie was de wereldkampioen Formule 1 in 2017?,Lewis Hamilton
Wie was de wereldkampioen Formule 1 in 2018?,Lewis Hamilton
Wie was de wereldkampioen Formule 1 in 2019?,Lewis Hamilton
Wie was de wereldkampioen Formule 1 in 2020?,Lewis Hamilton
Wie was de wereldkampioen Formule 1 in 2021?,Max Verstappen
Wie was de wereldkampioen Formule 1 in 2022?,Max Verstappen
Wie was de wereldkampioen Formule 1 in 2023?,Max Verstappen
Wie was de wereldkampioen Formule 1 in 2024?,Max Verstappen
