vraag,antwoord
Wie was de winnaar van de Tour de France in 1903?,Maurice Garin
Wie was de winnaar van de Tour de France in 1904?,Henri Cornet
Wie was de winnaar van de Tour de France in 1905?,Louis Trousselier
Wie was de winnaar van de Tour de France in 1906?,René Pottier
Wie was de winnaar van de Tour de France in 1907?,Lucien Petit‑Breton
Wie was de winnaar van de Tour de France in 1908?,Lucien Petit‑Breton
Wie was de winnaar van de Tour de France in 1909?,François Faber
Wie was de winnaar van de Tour de France in 1910?,Octave Lapize
Wie was de winnaar van de Tour de France in 1911?,Gustave Garrigou
Wie was de winnaar van de Tour de France in 1912?,Odile Defraye
Wie was de winnaar van de Tour de France in 1913?,Philippe Thys
Wie was de winnaar van de Tour de France in 1914?,Philippe Thys
Wie was de winnaar van de Tour de France in 1919?,Firmin Lambot
Wie was de winnaar van de Tour de France in 1920?,Philippe Thys
Wie was de winnaar van de Tour de France in 1921?,Léon Scieur
Wie was de winnaar van de Tour de France in 1922?,Firmin Lambot
Wie was de winnaar van de Tour de France in 1923?,Henri Pélissier
Wie was de winnaar van de Tour de France in 1924?,Ottavio Bottecchia
Wie was de winnaar van de Tour de France in 1925?,Ottavio Bottecchia
Wie was de winnaar van de Tour de France in 1926?,Lucien Buysse
Wie was de winnaar van de Tour de France in 1927?,Nicolas Frantz
Wie was de winnaar van de Tour de France in 1928?,Nicolas Frantz
Wie was de winnaar van de Tour de France in 1929?,Maurice de Waele
Wie was de winnaar van de Tour de France in 1930?,André Leducq
Wie was de winnaar van de Tour de France in 1931?,Antonin Magne
Wie was de winnaar van de Tour de France in 1932?,André Leducq
Wie was de winnaar van de Tour de France in 1933?,Georges Speicher
Wie was de winnaar van de Tour de France in 1934?,Antonin Magne
Wie was de winnaar van de Tour de France in 1935?,Romain Maes
Wie was de winnaar van de Tour de France in 1936?,Sylvère Maes
Wie was de winnaar van de Tour de France in 1937?,Roger Lapébie
Wie was de winnaar van de Tour de France in 1938?,Gino Bartali
Wie was de winnaar van de Tour de France in 1939?,Sylvère Maes
Wie was de winnaar van de Tour de France in 1947?,Jean Robic
Wie was de winnaar van de Tour de France in 1948?,Gino Bartali
Wie was de winnaar van de Tour de France in 1949?,Fausto Coppi
Wie was de winnaar van de Tour de France in 1950?,Ferdinand Kübler
Wie was de winnaar van de Tour de France in 1951?,Hugo Koblet
Wie was de winnaar van de Tour de France in 1952?,Fausto Coppi
Wie was de winnaar van de Tour de France in 1953?,Louison Bobet
Wie was de winnaar van de Tour de France in 1954?,Louison Bobet
Wie was de winnaar van de Tour de France in 1955?,Louison Bobet
Wie was de winnaar van de Tour de France in 1956?,Roger Walkowiak
