vraag,antwoord
Wie was de eerste president van de Verenigde Staten? Bevelhebber van het Continentale Leger tijdens de Amerikaanse Revolutie; legde de basis voor het presidentschap zonder partijpolitiek en weigerde een derde ambtstermijn.,George Washington
Wie was de tweede president van de Verenigde Staten? Sleutelfiguur in de onafhankelijkheid; zijn presidentschap werd gekenmerkt door spanningen met Frankrijk en de omstreden Alien and Sedition Acts.,John Adams
Wie was de derde president van de Verenigde Staten? Hoofdauteur van de Onafhankelijkheidsverklaring; kocht Louisiana van Frankrijk; wat de VS verdubbelde in grootte.,Thomas Jefferson
Wie was de vierde president van de Verenigde Staten? “Vader van de Grondwet”; leidde het land tijdens de Oorlog van 1812 tegen Groot-Brittannië.,James Madison
Wie was de vijfde president van de Verenigde Staten? Bekend van de gelijknamige doctrine; die Europese inmenging in Amerika afwees.,James Monroe
Wie was de zesde president van de Verenigde Staten? Zoon van de tweede; later diplomaat en voorvechter van de afschaffing van slavernij in het Congres.,John Quincy Adams
Wie was de zevende president van de Verenigde Staten? Populistische leider en militaire held; berucht om de gedwongen verplaatsing van inheemse Amerikanen (“Trail of Tears”).,Andrew Jackson
Wie was de achtste president van de Verenigde Staten? Sleutelpersoon in de vorming van de Democratische Partij; zijn presidentschap werd overschaduwd door een zware economische depressie.,Martin Van Buren
Wie was de negende president van de Verenigde Staten? Overleed slechts 31 dagen na zijn inauguratie; het kortste presidentschap in de Amerikaanse geschiedenis.,William Henry Harrison
Wie was de tiende president van de Verenigde Staten? Eerste vicepresident die president werd na het overlijden van zijn voorganger; werd later een bondgenoot van de Confederatie.,John Tyler
Wie was de elfde president van de Verenigde Staten? Breidde de VS uit tot aan de Stille Oceaan via de annexatie van Texas en de Mexicaans-Amerikaanse Oorlog.,James K. Polk
Wie was de twaalfde president van de Verenigde Staten? Militaire held van de Mexicaans-Amerikaanse Oorlog; stierf na slechts 16 maanden in functie.,Zachary Taylor
Wie was de dertiende president van de Verenigde Staten? Ondertekende het Compromise of 1850; dat slavernijkwesties tijdelijk suste maar de verdeeldheid vergrootte.,Millard Fillmore
Wie was de veertiende president van de Verenigde Staten? Zijn pogingen om de slavernijkwestie te negeren verergerden de spanningen die tot de Burgeroorlog zouden leiden.,Franklin Pierce
Wie was de vijftiende president van de Verenigde Staten? Onbeslist optreden bij de zuidelijke afscheiding; algemeen gezien als een van de minst effectieve presidenten.,James Buchanan
Wie was de zestiende president van de Verenigde Staten? Leidde de Unie tijdens de Burgeroorlog; schafte de slavernij af en werd vermoord in 1865.,Abraham Lincoln
Wie was de zeventiende president van de Verenigde Staten? Probeerde het Zuiden snel te herstellen na de Burgeroorlog; kwam in conflict met het Congres en werd bijna afgezet.,Andrew Johnson
Wie was de achttiende president van de Verenigde Staten? Oorlogsheld van de Unie; zijn regering werd geteisterd door corruptieschandalen.,Ulysses S. Grant
Wie was de negentiende president van de Verenigde Staten? Einde van de wederopbouwperiode in het Zuiden; beëindigde federale troepenaanwezigheid in zuidelijke staten.,Rutherford B. Hayes
Wie was de twintigste president van de Verenigde Staten? Werd na slechts enkele maanden in functie neergeschoten en overleed aan zijn verwondingen.,James A. Garfield
Wie was de eenentwintigste president van de Verenigde Staten? Hervormde het ambtenarenapparaat met de Pendleton Civil Service Act.,Chester A. Arthur
Wie was de tweeëntwintigste president van de Verenigde Staten? Enige president voor Donald Trump die twee niet-opeenvolgende termijnen diende; stond bekend om zijn eerlijkheid.,Grover Cleveland
Wie was de drieëntwintigste president van de Verenigde Staten? Kleinzoon van William Henry Harrison; breidde de marine uit en tekende de Sherman Antitrust Act.,Benjamin Harrison
Wie was de vierentwintigste president van de Verenigde Staten? Keerde terug voor een tweede termijn; worstelde met een zware economische depressie.,Grover Cleveland
Wie was de vijfentwintigste president van de Verenigde Staten? Leidde de VS naar overwinning in de Spaans-Amerikaanse Oorlog; werd in 1901 vermoord.,William McKinley
Wie was de zesentwintigste president van de Verenigde Staten? Promootte hervormingen en natuurbescherming; bouwde het Panamakanaal en versterkte de wereldpositie van de VS.,Theodore Roosevelt
