vraag,antwoord
Octavianus was na zijn postume adoptie door Julius Caesar de eerste keizer. Zijn regering luidde een tijdperk van relatieve vrede in bekend als de Pax Romana. Hij werd de heerser van Rome na de nederlaag van Marcus Antonius en Cleopatra in de Slag bij Actium in 31 voor Christus. Hij voerde belangrijke constitutionele hervormingen door. Hij legde de basis voor het imperiale systeem en breidde het rijk enorm uit,Augustus
De tweede Romeinse keizer regerend van 14 tot 37. Hij was een van de grootste generaals van Rome. Plinius de Oudere noemde hem de meest sombere van alle mannen. Hij volgde Augustus op en was een stiefzoon van hem door zijn huwelijk met Livia. Zijn regering werd gekenmerkt door een toenemende afhankelijkheid van de Praetoriaanse Garde,Tiberius
De derde Romeinse keizer regerend van 37 tot 41. Hij staat bekend om zijn excentriciteit en tirannieke heerschappij en wordt door historische bronnen vaak van waanzin beschuldigd. Zijn vroege heerschappij was veelbelovend maar na een ernstige ziekte  werd zijn gedrag steeds grilliger. Hij is berucht om zijn wreedheid extravagantie en seksuele perversiteit wat leidde tot zijn moord door leden van de Praetoriaanse Garde,Caligula
De vierde Romeinse keizer regerend van 41 tot 54 werd aanvankelijk beschouwd als een zwakke man. Bleekj een efficiënte bestuurder en ambitieuze bouwer  die het rijk uitbreidde door de verovering van Britannia. Ondanks zijn successen werd zijn regering getekend door binnenlandse problemen. Hij werd vergiftigd door zijn vrouw Agrippina de Jongere de moeder van zijn opvolger Nero, Claudius
De vijfde Romeinse keizer regeerde van 54 tot 68. Hij staat bekend om zijn artistieke inspanningen en de bouw van extravagante gebouwen. Zijn regering wordt echter vaak geassocieerd met tirannie extravagantie en losbandigheid. Hij staat berucht om de Grote Brand van Rome in 64 na Christus. Die zou hij hebben gebruikt als excuus om christenen te vervolgen en de stad volgens zijn plannen te herbouwen. Geconfronteerd met een militaire staatsgreep pleegde hij zelfmoord,Nero
De zesde Romeinse keizer regeerde van 68 tot 69. Hij kwam aan de macht na de zelfmoord van Nero wat het begin markeerde van het Jaar van de Vier Keizers. Ondanks zijn reputatie als streng en bekwaam bestuurder werd zijn korte regeerperiode gekenmerkt door financiële problemen en wijdverbreide ontevredenheid. Hij slaagde er niet in de Praetoriaanse Garde en de legioenen te betalen wat leidde tot zijn moord ten gunste van Otho,Galba
De zevende Romeinse keizer regeerde voor een korte periode in 69. Zijn regering duurde slechts drie maanden. Hij was aanvankelijk een vriend en aanhanger van Nero maar hij sloot zich aan bij Galba's opstand en verraadde hem later om keizer te worden. Zijn heerschappij werd snel uitgedaagd door Vitellius een commandant van de Rijnlegioenen. Nadat hij een nederlaag had geleden in de Slag bij Bedriacum pleegde hij zelfmoord,Otho
De achtste Romeinse keizer regeerde acht maanden in het jaar 69. Zijn machtsovername volgde op de nederlaag van Otho. Zijn regering werd gekenmerkt door luxe en extravagantie maar ook door algemene incompetentie. Zijn troepen werden uiteindelijk verslagen door de legioenen van Vespasianus en hij werd geëxecuteerd in Rome,Vitellisu
De negende Romeinse keizer regeerde van 69 tot 79. Hij stichtte de Flavische dynastie die het rijk 27 jaar lang regeerde. Hij bracht stabiliteit in het rijk en initieerde economische en culturele revitalisering. Hij is het meest bekend om de bouw van het Colosseum,Vespasianus
De tiende Romeinse keizerregeerde van 79 tot 81. Hij was de oudste zoon van Vespasianus. Zijn  korte regering werd gekenmerkt door rampen waaronder de uitbarsting van de Vesuvius in 79 en een brand in Rome in 80. Ondanks deze uitdagingen was hij populair bij de Romeinse bevolking en werd hij beschouwd als een goede keizer. Hij voltooide het Colosseum en organiseerde daar weelderige spelen. Na zijn dood werd hij vergoddelijkt door de senaat,Titus
De elfde Romeinse keizer regeerde van 81 tot 96. Zijn regering als broer van Titus markeerde het einde van de Flavische dynastie. Hij was een autoritaire heerser die de economie versterkte en de grenzen van het rijk verlegde. Zijn regering leidde tot talloze executies van senatoren en rijke burgers. Hij werd vermoord tijdens een samenzwering in het paleis en de Senaat veroordeelde prompt zijn nagedachtenis tot vergetelheid,Domitianus
De twaalfde Romeinse keizer regeerde van 96 tot 98. Hij werd door de Senaat tot keizer uitgeroepen na de moord op Domitianus. Zijn korte regering werd gekenmerkt door een machtsoverdracht en het genezen van het rijk van de excessen van Domitianus' heerschappij. Hij adopteerde Trajanus als zijn opvolger wat het voorbeeld gaf voor het adopteren van bekwame erfgenamen,Nerva
De dertiende Romeinse keizer regeerde van 98 tot 117. Hij wordt algemeen beschouwd als een van de grootste keizers van Rome. Tijdens zijn regering bereikte het rijk zijn maximale territoriale omvang. Hij stond ook bekend om zijn filantropische heerschappij en openbare bouwprojecten. In Rome staat een zuil ter herdenking van zijn overwinningen in Dacia,Trajanus
De veertiende Romeinse keizer regeerde van 117 tot 138. Hij was een neef van Trajanus en volgde hem op met diens schijnbare goedkeuring. De regering van Hadrianus werd gekenmerkt door een consolidatie van de grenzen van het rijk. Een muur in Britannia draagt zijn naam. Hij bezocht bijna elke provincie van het rijk. Hij concentreerde zich op het bestuur en het rechtssysteem ervan. Hij liet het Pantheon bouwen en de Tempel van Venus en Roma in Rome,Hadrianus
De vijftiende Romeinse keizer regeerde van 138 tot 161. Hij werd geadopteerd door Hadrianus. Zijn regering was er een van vrede en welvaart voor het Romeinse Rijk en kende geen grote militaire conflicten. Hij was een rechtvaardige en ijverige bestuurder die zich richtte op het welzijn van de mensen en het onderhoud van de infrastructuur van het rijk. Zijn regering wordt vaak gezien als een gouden periode van Romeinse geschiedenis,Antoninus Pius
De zestiende Romeinse keizer regeerde van 161 tot 180 na Christus. Hij wordt beschouwd als de laatste van de Vijf Goede Keizers. Hij staat ook bekend om zijn stoïcijnse filosofie gedocumenteerd in zijn werk Meditaties. Zijn regering werd gekenmerkt door de oorlogen tegen de Parthen en Germaanse stammen. Zijn dood markeerde het einde van de Pax Romana en het begin van de ondergang van het Romeinse Rijk, Marcus Aurelius
De zeventiende Romeinse keizer regeerde van 180 tot 192. Als zoon van Marcus Aurelius markeerde zijn regering een belangrijke afwijking van het stoïcisme en de plichtsbetrachting van zijn vader. De heerschappij van Commodus wordt gekenmerkt door zijn excentrieke gedrag waaronder deelname aan gladiatorengevechten. Zijn wanbeheer leidde tot wijdverbreide corruptie en de devaluatie van de Romeinse munt. De moord op hem maakte een einde aan de dynastie en luidde een periode van instabiliteit in die bekend staat als het Jaar van de Vijf Keizers,Commodus
De achttiende Romeinse keizer regeerde voor een korte periode in 193 na Christus. Zijn troonsbestijging volgde op de moord op Commodus en hij probeerde de discipline en financiële stabiliteit in het rijk te herstellen. Zijn pogingen om de Praetoriaanse Garde en andere aspecten van de Romeinse samenleving te hervormen leidden echter tot zijn ondergang. Na slechts drie maanden werd hij vermoord,Pertinax
